Chave;SN;Label;Hostname;MacAddress;IP;Patrimônio ;Fabricante;COD Fabricante;MOD Fabricante;Versões ;Familia;Classe ;Termino Garantia;Localização ;Usuario Resp;Incio Responsabilidade;Fornecedor;Licença ;Data Compra;Data Entrada;Status Corrente ;Status Agendado;Custo
HWSER001;829891G;Fenix;FENIX;00-0D-60-D1-57-89;139.82.51.24;69220;IBM;24P0604;XSERIES 235;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER002;829889L;IAG Mail;IAGMAIL;00-0D-60-D1-57-07;139.82.51.102;69221;IBM;24P0604;XSERIES 235;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER003;2310M21;IAG Lab 2;IAG_LAB2;00-08-74-B5-F1-BE;139.82.194.2;64926;DELL;;OPTIPLEX GX260;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER004;209LY81;Pegasus;PEGASUS;00-13-72-00-51-E0;139.82.194.29;13500;DELL;;OPTIPLEX GX620;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER005;820001V;Aquila;AQUILA;00-0D-60-7A-06-2E;139.82.151.18;14053;IBM;13N0859;XSERIES 236;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER006;;Cam1;CATVSERV;00-13-20-51-C2-28;139.82.51.110;70754;;;;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER007;;Cam2;SERVCAM2;00-04-75-B3-67-79;139.82.51.82;66112;;;;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER008;820001D;Lynx;LYNX;00-0D-60-7A-05-B8;139.82.51.22;14054;IBM;13N0859;XSERIES 236;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER009;8201LHL;Taurus;TAURUS;00-14-5E-98-09-56;139.82.51.190;14056;IBM;25R8821;XSERIES 206M;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
HWSER010;409LY81;Print Server;PRINTSERVER;00-13-72-00-51-A1;139.82.51.153;13474;DELL;;OPTIPLEX GX620;;HARDWARE;SERVIDOR;;CPD;INFORMATICA;;;;;;PRODUCAO;;
