Aplicacao;Origem;Tipo;Destino;Cmd Ckeck Tipo
Telefonia;HWSWT003;;HWSWT002;na
Telefonia;HWSWT004;;HWSWT003;na
Telefonia;HWSER020;;HWSWT002;na
Telefonia;HWSER021;;HWSWT002;na
Telefonia;HWSER022;;HWSWT002;na
Telefonia;HWROT001;;HWSWT002;na
Telefonia;HWATA002;;HWSWT004;na
Telefonia;HWSWT009;;HWSWT004;na
Telefonia;HWSWT014;;HWSWT009;na
Telefonia;HWATA001;;HWSWT014;na
Telefonia;HWATA003;;HWSWT014;na
Telefonia;HWATA004;;HWSWT014;na
Telefonia;SWSVR030;;HWSER020;CCM
Telefonia;SWSVR031;;HWSER020;CCM_TOMCAT
Telefonia;SWSVR032;;HWSER021;CCM
Telefonia;SWSVR033;;HWSER021;CCM_TOMCAT
Telefonia;SWSVR034;;HWSER022;UNITY
Telefonia;SWSVR035;;HWSER022;UNITY_TOMCAT
Correio;SWSVR001;;HWSER002;HTTPs
Correio;SWSVR002;;HWSER002;SMTP
EaD;SWSVR006;;SWVSR003;HTTP
EaD;SWSVR007;;SWVSR002;HTTP
EaD;SWSVR011;;HWSER005;ADOBE_CONNECT
EaD;SWSVR008;;SWVSR001;MYSQL
EaD;SWSVR024;;SWVSR001;MSSQL
EaD;SWSVR010;;SWVSR003;WMI
EaD;SWVSR003;;HWSWT010;na
EaD;SWVSR002;;HWSWT010;na
EaD;HWSER005;;HWSWT010;na
EaD;SWVSR001;;HWSWT010;na
Web Site;SWSVR018;;HWSER008;HTTP
Web Site;SWSVR019;;HWSER008;HTTP
Web Site;SWSVR020;;HWSER008;COLDFUSION
Web Site;SWSVR021;;HWSER008;WEBCT
Web Site;SWSVR022;;HWSER008;UNIBB
Web Site;SWSVR008;;SWVSR001;MYSQL
Web Site;SWSVR024;;SWVSR001;MSSQL
Web Site;SWSVR023;;HWSER018;MSSQL
Web Site;SWSVR016;;HWSER005;FLASH
Web Site;SWSVR017;;HWSER005;FLASH_ADM
Internet;SWSVR014;;SWSVR012;HTTP
Internet;SWSVR015;;SWSVR013;HTTP
DNS;SWSVR005;;HWSER001;DNS-INT
DNS;SWSVR009;;HWSER101;DNS-EXT
Infra;HWSWT001;;HWSWT009;na
Infra;HWSWT002;;HWSWT009;na
Infra;HWSWT003;;HWSWT002;na
Infra;HWSWT004;;HWSWT003;na
Infra;HWSWT005;;HWSWT009;na
Infra;HWSWT006;;HWSWT009;na
Infra;HWSWT007;;HWSWT009;na
Infra;HWSWT008;;HWSWT009;na
Infra;HWSWT010;;HWSWT009;na
Infra;HWSWT011;;HWSWT010;na
Infra;HWSWT012;;HWSWT011;na
Infra;HWSWT013;;HWSWT012;na
Infra;HWSWT014;;HWSWT009;na
Infra;HWFWL001;;HWSWT010;na
Infra;HWROT001;;HWSWT004;na
Infra;HWSER020;;HWSWT004;na
Infra;HWSER021;;HWSWT004;na
Infra;HWSER022;;HWSWT004;na
Infra;HWSER001;;HWSWT013;na
Infra;HWSER002;;HWSWT013;na
Infra;HWSER003;;HWSWT013;na
Infra;HWSER004;;HWSWT013;na
Infra;HWSER005;;HWSWT013;na
Infra;HWSER006;;HWSWT013;na
Infra;HWSER007;;HWSWT013;na
Infra;HWSER008;;HWSWT013;na
Infra;HWSER009;;HWSWT013;na
Infra;HWSER010;;HWSWT013;na
Infra;HWSER011;;HWSWT013;na
Infra;HWSER012;;HWSWT013;na
Infra;HWSER013;;HWSWT013;na
Infra;HWSER014;;HWSWT013;na
Infra;HWSER016;;HWSWT013;na
Infra;HWSER018;;HWSWT013;na
Infra;SWVSR001;;HWSWT013;na
Infra;SWVSR002;;HWSWT013;na
Infra;SWVSR003;;HWSWT013;na
Infra;SWSVR034;;HWSER022;UNITY
Infra;SWSVR035;;HWSER022;UNITY_TOMCAT
Infra;SWSVR030;;HWSER020;CCM
Infra;SWSVR031;;HWSER020;CCM_TOMCAT
Infra;SWSVR032;;HWSER021;CCM
Infra;SWSVR033;;HWSER021;CCM_TOMCAT
Infra;SWSVR001;;HWSER002;HTTPs
Infra;SWSVR002;;HWSER002;SMTP
Infra;SWSVR006;;SWVSR003;HTTP
Infra;SWSVR007;;SWVSR002;HTTP
Infra;SWSVR011;;HWSER005;ADOBE_CONNECT
Infra;SWSVR008;;SWVSR001;MYSQL
Infra;SWSVR024;;SWVSR001;MSSQL
Infra;SWSVR010;;SWVSR003;WMI
Infra;SWSVR018;;HWSER008;HTTP
Infra;SWSVR019;;HWSER008;HTTP
Infra;SWSVR020;;HWSER008;COLDFUSION
Infra;SWSVR021;;HWSER008;WEBCT
Infra;SWSVR022;;HWSER008;UNIBB
Infra;SWSVR023;;HWSER018;MSSQL
Infra;SWSVR016;;HWSER005;FLASH
Infra;SWSVR017;;HWSER005;FLASH_ADM
Infra;HWSTG001;;HWSWT013;na
